Site,Date,Depth,Temp,Source
13_isi,2023-01-19,30,6.466841652989388,MY
13_isi,2023-01-20,5,5.22022157907486,MY
13_isi,2023-01-20,10,5.297128222882748,MY
13_isi,2023-01-20,15,5.447279289364815,MY
13_isi,2023-01-20,20,5.562273032963276,MY
13_isi,2023-01-20,30,6.31669058650732,MY
13_isi,2023-01-21,5,5.406994856894016,MY
13_isi,2023-01-21,10,5.409924633800983,MY
13_isi,2023-01-21,15,5.443617068231106,MY
13_isi,2023-01-21,20,5.49855038523674,MY
13_isi,2023-01-21,30,5.984160907566547,MY
13_isi,2023-01-22,5,5.366710424423218,MY
13_isi,2023-01-22,10,5.366710424423218,MY
13_isi,2023-01-22,15,5.366710424423218,MY
13_isi,2023-01-22,20,5.366710424423218,MY
13_isi,2023-01-22,30,5.370372645556927,MY
13_isi,2023-01-23,5,5.223151355981827,MY
13_isi,2023-01-23,10,5.2451246827840805,MY
13_isi,2023-01-23,15,5.299325555562973,MY
13_isi,2023-01-23,20,5.326425991952419,MY
13_isi,2023-01-23,30,5.404797524213791,MY
13_isi,2023-01-24,5,5.2121646925807,MY
13_isi,2023-01-24,10,5.2121646925807,MY
13_isi,2023-01-24,15,5.2121646925807,MY
13_isi,2023-01-24,20,5.2121646925807,MY
13_isi,2023-01-24,30,5.253914013504982,MY
13_isi,2023-01-25,5,4.840815469622612,MY
13_isi,2023-01-25,10,4.840815469622612,MY
13_isi,2023-01-25,15,4.840815469622612,MY
13_isi,2023-01-25,20,4.840815469622612,MY
13_isi,2023-01-25,30,4.840815469622612,MY
13_isi,2023-01-26,5,4.434308923780918,MY
13_isi,2023-01-26,10,4.434308923780918,MY
13_isi,2023-01-26,15,4.434308923780918,MY
13_isi,2023-01-26,20,4.434308923780918,MY
13_isi,2023-01-26,30,4.466536469757557,MY
13_isi,2023-01-27,5,4.303933851420879,MY
13_isi,2023-01-27,10,4.31638540327549,MY
13_isi,2023-01-27,15,4.344218283891678,MY
13_isi,2023-01-27,20,4.363261833786964,MY
13_isi,2023-01-27,30,4.5170751214027405,MY
13_isi,2023-01-28,5,4.334696508944035,MY
13_isi,2023-01-28,10,4.335428953170776,MY
13_isi,2023-01-28,15,4.339091174304485,MY
13_isi,2023-01-28,20,4.348612949252129,MY
13_isi,2023-01-28,30,4.517807565629482,MY
13_isi,2023-01-29,5,4.246070757508278,MY
13_isi,2023-01-29,10,4.246070757508278,MY
13_isi,2023-01-29,15,4.2475356459617615,MY
13_isi,2023-01-29,20,4.249000534415245,MY
13_isi,2023-01-29,30,4.382305383682251,MY
13_isi,2023-01-30,5,4.110568575561047,MY
13_isi,2023-01-30,10,4.124485015869141,MY
13_isi,2023-01-30,15,4.145725898444653,MY
13_isi,2023-01-30,20,4.164769448339939,MY
13_isi,2023-01-30,30,4.479720465838909,MY
13_isi,2023-01-31,5,4.120822794735432,MY
13_isi,2023-01-31,10,4.1215552389621735,MY
13_isi,2023-01-31,15,4.123020127415657,MY
13_isi,2023-01-31,20,4.126682348549366,MY
13_isi,2023-01-31,30,4.415997818112373,MY
13_isi,2023-02-01,5,3.890102863311768,MY
13_isi,2023-02-01,10,3.958952620625496,MY
13_isi,2023-02-01,15,4.065157033503056,MY
13_isi,2023-02-01,20,4.125217460095882,MY
13_isi,2023-02-01,30,4.498764015734196,MY
13_isi,2023-02-02,5,3.888637974858284,MY
13_isi,2023-02-02,10,3.888637974858284,MY
13_isi,2023-02-02,15,3.893032640218735,MY
13_isi,2023-02-02,20,3.906216636300087,MY
13_isi,2023-02-02,30,4.287087634205818,MY
13_isi,2023-02-03,5,3.69893492013216,MY
13_isi,2023-02-03,10,3.69893492013216,MY
13_isi,2023-02-03,15,3.699667364358902,MY
13_isi,2023-02-03,20,3.700399808585644,MY
13_isi,2023-02-03,30,4.030732154846191,MY
13_isi,2023-02-04,5,3.5641651824116707,MY
13_isi,2023-02-04,10,3.5656300708651543,MY
13_isi,2023-02-04,15,3.574419401586056,MY
13_isi,2023-02-04,20,3.598590061068535,MY
13_isi,2023-02-04,30,4.05856503546238,MY
13_isi,2023-02-05,5,3.500442534685135,MY
13_isi,2023-02-05,10,3.518021196126938,MY
13_isi,2023-02-05,15,3.545121632516384,MY
13_isi,2023-02-05,20,3.5788140669465065,MY
13_isi,2023-02-05,30,4.127414792776108,MY
13_isi,2023-02-06,5,3.433790110051632,MY
13_isi,2023-02-06,10,3.4521012157201767,MY
13_isi,2023-02-06,15,3.518021196126938,MY
13_isi,2023-02-06,20,3.581011399626732,MY
13_isi,2023-02-06,30,4.1947996616363525,MY
13_isi,2023-02-07,5,3.34296702593565,MY
13_isi,2023-02-07,10,3.349559023976326,MY
13_isi,2023-02-07,15,3.4499038830399518,MY
13_isi,2023-02-07,20,3.562700293958187,MY
13_isi,2023-02-07,30,4.276833415031433,MY
13_isi,2023-02-08,5,3.234565280377865,MY
13_isi,2023-02-08,10,3.254341274499893,MY
13_isi,2023-02-08,15,3.376659460365772,MY
13_isi,2023-02-08,20,3.5202185288071632,MY
13_isi,2023-02-08,30,4.328104510903359,MY
13_isi,2023-02-09,5,3.226508393883705,MY
13_isi,2023-02-09,10,3.2279732823371887,MY
13_isi,2023-02-09,15,3.2360301688313484,MY
13_isi,2023-02-09,20,3.2704550474882126,MY
13_isi,2023-02-09,30,4.190404996275902,MY
13_isi,2023-02-10,5,2.9620960280299187,MY
13_isi,2023-02-10,10,3.0954008772969246,MY
13_isi,2023-02-10,15,3.1928159594535828,MY
13_isi,2023-02-10,20,3.2499466091394424,MY
13_isi,2023-02-10,30,4.194067217409611,MY
13_isi,2023-02-11,5,2.92986848205328,MY
13_isi,2023-02-11,10,3.099795542657376,MY
13_isi,2023-02-11,15,3.271919935941696,MY
13_isi,2023-02-11,20,3.3554185777902603,MY
13_isi,2023-02-11,30,4.2438734248280525,MY
13_isi,2023-02-12,5,2.9144871532917023,MY
13_isi,2023-02-12,10,3.119571536779404,MY
13_isi,2023-02-12,15,3.307077258825302,MY
13_isi,2023-02-12,20,3.423535890877247,MY
13_isi,2023-02-12,30,4.2790307477116585,MY
13_isi,2023-02-13,5,2.7526169791817665,MY
13_isi,2023-02-13,10,3.107119984924793,MY
13_isi,2023-02-13,15,3.364940352737904,MY
13_isi,2023-02-13,20,3.496780313551426,MY
13_isi,2023-02-13,30,4.319315180182457,MY
13_isi,2023-02-14,5,2.5292214900255203,MY
13_isi,2023-02-14,10,2.9144871532917023,MY
13_isi,2023-02-14,15,3.4345225542783737,MY
13_isi,2023-02-14,20,3.60884428024292,MY
13_isi,2023-02-14,30,4.366191610693932,MY
13_isi,2023-02-15,5,2.3951841965317726,MY
13_isi,2023-02-15,10,2.639088124036789,MY
13_isi,2023-02-15,15,3.4396496638655663,MY
13_isi,2023-02-15,20,3.690878033638001,MY
